time_s,event,transport,mode,produced,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.001839,start,mqtt,pi,0,0,0,0,65536,0,0,0,0,0,65536,0.000,0
0.017381,status,mqtt,pi,0,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.058631,status,mqtt,pi,0,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.106796,produce,mqtt,pi,4096,0,0,0,131072,0,0,0,0,0,131072,640.000,0
0.107317,produce,mqtt,pi,8192,3960,22,22,131072,0,0,0,0,3960,127112,1033.478,0
0.127766,send,mqtt,pi,8192,5760,32,32,131072,0,0,0,0,5760,125312,1033.531,1
0.168406,produce,mqtt,pi,12288,8100,45,45,131072,0,0,0,0,8100,122972,1033.635,3
0.250513,send,mqtt,pi,12288,11520,64,64,131072,0,0,0,0,11520,119552,1033.845,7
0.250846,produce,mqtt,pi,16384,12240,68,68,131072,0,0,0,0,12240,118832,1033.845,7
0.332857,produce,mqtt,pi,20480,16380,91,91,131072,0,0,0,0,16380,114692,1034.055,11
0.353433,send,mqtt,pi,20480,17280,96,96,131072,0,0,0,0,17280,113792,1034.107,12
0.414409,produce,mqtt,pi,24576,20340,113,113,131072,0,0,0,0,20340,110732,1034.265,15
0.475445,send,mqtt,pi,24576,23040,128,128,131072,0,0,0,0,23040,108032,1034.422,18
0.496489,produce,mqtt,pi,28672,24480,136,136,131072,0,0,0,0,24480,106592,1034.474,19
0.580110,produce,mqtt,pi,32768,28620,159,159,131072,0,0,0,0,28620,102452,1034.684,23
0.580222,send,mqtt,pi,32768,28800,160,160,131072,0,0,0,0,28800,102272,1034.736,23
0.641556,produce,mqtt,pi,36864,32760,182,182,131072,0,0,0,0,32760,98312,1034.894,26
0.682786,send,mqtt,pi,36864,34560,192,192,131072,0,0,0,0,34560,96512,1034.999,28
0.723880,produce,mqtt,pi,40960,36720,204,204,131072,0,0,0,0,36720,94352,1035.103,30
0.785475,send,mqtt,pi,40960,40320,224,224,131072,0,0,0,0,40320,90752,1035.261,33
0.805756,produce,mqtt,pi,45056,40860,227,227,131072,0,0,0,0,40860,90212,1035.313,34
0.888625,produce,mqtt,pi,49152,45000,250,250,131072,0,0,0,0,45000,86072,1035.523,38
0.909072,send,mqtt,pi,49152,46080,256,256,131072,0,0,0,0,46080,84992,1035.575,39
0.971523,produce,mqtt,pi,53248,49140,273,273,131072,0,0,0,0,49140,81932,1035.733,42
1.022682,pace_wait,mqtt,pi,53248,50940,283,283,131072,0,0,0,0,50940,80132,1035.890,50
1.050560,send,mqtt,pi,53248,51840,288,288,131072,0,0,0,0,51840,79232,1035.942,54
1.089890,produce,mqtt,pi,57344,53100,295,295,131072,0,0,0,0,53100,77972,1036.047,61
1.219523,produce,mqtt,pi,61440,57240,318,318,131072,0,0,0,0,57240,73832,1036.362,84
1.230882,send,mqtt,pi,61440,57600,320,320,131072,0,0,0,0,57600,73472,1036.414,86
1.303705,pace_wait,mqtt,pi,61440,59940,333,333,131072,0,0,0,0,59940,71132,1036.624,100
1.348793,produce,mqtt,pi,65536,61380,341,341,131072,0,0,0,0,61380,69692,1036.729,107
1.410540,send,mqtt,pi,65536,63360,352,352,131072,0,0,0,0,63360,67712,1036.886,118
1.478224,produce,mqtt,pi,69632,65520,364,364,131072,0,0,0,0,65520,65552,1037.043,130
1.569405,status,mqtt,pi,69632,68400,380,380,68388,62684,66780,4096,66780,1620,66768,0.000,147
1.584949,pace_wait,mqtt,pi,69632,68940,383,383,68388,62684,66780,4096,66780,2160,66725,661.204,150
1.590658,send,mqtt,pi,69632,69120,384,384,68388,62684,66780,4096,66780,2340,66728,661.204,150
1.601835,produce,mqtt,pi,73728,69480,386,386,68388,62684,66780,4096,66780,2700,66726,661.204,152
1.689240,status,mqtt,pi,73728,72180,401,401,67984,63088,71280,8192,66780,900,67084,0.000,168
1.731197,produce,mqtt,pi,77824,73620,409,409,67984,63088,71280,8192,66780,2340,66987,658.795,175
1.770551,send,mqtt,pi,77824,74880,416,416,67984,63088,71280,8192,66780,3600,66986,658.799,182
1.824196,status,mqtt,pi,77824,76500,425,425,67940,63132,75420,12288,66780,1080,66860,0.000,192
1.860546,produce,mqtt,pi,81920,77760,432,432,67940,63132,75420,12288,66780,2340,66763,658.543,198
1.866198,pace_wait,mqtt,pi,81920,77940,433,433,67940,63132,75420,12288,66780,2520,66764,658.545,200
1.944428,status,mqtt,pi,81920,80280,446,446,68076,62996,79380,16384,66780,900,67176,0.000,213
1.950551,send,mqtt,pi,81920,80640,448,448,68076,62996,79380,16384,66780,1260,67012,659.368,214
1.989923,produce,mqtt,pi,86016,81900,455,455,68076,62996,79380,16384,66780,2520,67012,659.373,221
2.078262,status,mqtt,pi,86016,84600,470,470,68032,63040,83520,20480,66780,1080,66952,0.000,237
2.113660,produce,mqtt,pi,90112,85860,477,477,68032,63040,83520,20480,66780,2340,66825,659.121,243
2.130606,send,mqtt,pi,90112,86400,480,480,68032,63040,83520,20480,66780,2880,66827,659.123,246
2.147434,pace_wait,mqtt,pi,90112,86940,483,483,68032,63040,83520,20480,66780,3420,66825,659.125,250
2.212787,status,mqtt,pi,90112,88920,494,494,67988,63084,87660,24576,66780,1260,66729,0.000,261
2.243290,produce,mqtt,pi,94208,90000,500,500,67988,63084,87660,24576,66780,2340,66625,658.869,266
2.310589,send,mqtt,pi,94208,92160,512,512,67988,63084,87660,24576,66780,4500,66619,658.876,278
2.333893,status,mqtt,pi,94208,92880,516,516,68124,62948,91620,28672,66780,1260,66864,0.000,283
2.372551,produce,mqtt,pi,98304,94140,523,523,68124,62948,91620,28672,66780,2520,66842,659.699,289
2.428942,pace_wait,mqtt,pi,98304,95940,533,533,68124,62948,91620,28672,66780,4320,66846,659.705,300
2.471710,status,mqtt,pi,98304,97200,540,540,68260,62812,95580,32768,66780,1620,66640,0.000,307
2.490540,send,mqtt,pi,98304,97920,544,544,68260,62812,95580,32768,66780,2340,66522,660.527,310
2.501839,produce,mqtt,pi,102400,98280,546,546,68260,62812,95580,32768,66780,2700,66524,660.527,312
2.590517,status,mqtt,pi,102400,100980,561,561,68576,62496,99360,36864,66780,1620,66956,0.000,328
2.625492,produce,mqtt,pi,106496,102240,568,568,68576,62496,99360,36864,66780,2880,66816,662.436,334
2.670522,send,mqtt,pi,106496,103680,576,576,68576,62496,99360,36864,66780,4320,66817,662.444,342
2.710088,pace_wait,mqtt,pi,106496,104940,583,583,68576,62496,99360,36864,66780,5580,66823,662.449,350
2.721818,status,mqtt,pi,106496,105300,585,585,67632,63440,104400,40960,66780,900,66732,0.000,352
2.755080,produce,mqtt,pi,110592,106380,591,591,67632,63440,104400,40960,66780,1980,66717,656.789,357
2.841361,status,mqtt,pi,110592,109080,606,606,68128,62944,108000,45056,66780,1080,67048,0.000,373
2.850464,send,mqtt,pi,110592,109440,608,608,68128,62944,108000,45056,66780,1440,66979,659.773,374
2.884337,produce,mqtt,pi,114688,110520,614,614,68128,62944,108000,45056,66780,2520,66983,659.776,380
2.984234,status,mqtt,pi,114688,113580,631,631,67544,63528,112680,49152,66780,900,66644,0.000,398
2.991203,pace_wait,mqtt,pi,114688,113940,633,633,67544,63528,112680,49152,66780,1260,66508,656.284,400
3.013696,produce,mqtt,pi,118784,114660,637,637,67544,63528,112680,49152,66780,1980,66508,656.285,403
3.030512,send,mqtt,pi,118784,115200,640,640,67544,63528,112680,49152,66780,2520,66506,656.287,406
3.096412,status,mqtt,pi,118784,117180,651,651,68580,62492,115740,53248,66780,1440,67140,0.000,418
3.137590,produce,mqtt,pi,122880,118620,659,659,68580,62492,115740,53248,66780,2880,67018,662.512,425
3.210578,send,mqtt,pi,122880,120960,672,672,68580,62492,115740,53248,66780,5220,67014,662.522,438
3.234706,status,mqtt,pi,122880,121680,676,676,68176,62896,120240,57344,66780,1440,66737,0.000,443
3.266885,produce,mqtt,pi,126976,122760,682,682,68176,62896,120240,57344,66780,2520,66687,660.105,448
3.272501,pace_wait,mqtt,pi,126976,122940,683,683,68176,62896,120240,57344,66780,2700,66687,660.105,450
3.352662,status,mqtt,pi,126976,125460,697,697,68312,62760,124200,61440,66780,1260,67052,0.000,464
3.390477,send,mqtt,pi,126976,126720,704,704,68312,62760,124200,61440,66780,2520,67002,660.934,470
3.396156,produce,mqtt,pi,131072,126900,705,705,68312,62760,124200,61440,66780,2700,67004,660.934,471
3.492560,status,mqtt,pi,131072,129960,722,722,68448,62624,128160,65536,66780,1800,66648,0.000,489
3.525632,produce,mqtt,pi,135168,131040,728,728,68448,62624,128160,65536,66780,2880,66627,661.763,494
3.553911,pace_wait,mqtt,pi,135168,131940,733,733,68448,62624,128160,65536,66780,3780,66631,661.768,500
3.570593,send,mqtt,pi,135168,132480,736,736,68448,62624,128160,65536,66780,4320,66625,661.770,502
3.606594,status,mqtt,pi,135168,133560,742,742,68584,62488,132120,69632,66780,1440,67144,0.000,509
3.649427,produce,mqtt,pi,139264,135000,750,750,68584,62488,132120,69632,66780,2880,67074,662.596,516
3.743798,status,mqtt,pi,139264,137880,766,766,68180,62892,136620,73728,66780,1260,66924,0.000,533
3.750672,send,mqtt,pi,139264,138240,768,768,68180,62892,136620,73728,66780,1620,66784,660.184,534
