time_s,event,transport,mode,produced,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.001893,start,mqtt,watermark,0,0,0,0,65536,0,0,0,0,0,65536,0.000,0
0.019013,status,mqtt,watermark,0,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.060837,status,mqtt,watermark,0,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.095314,produce,mqtt,watermark,4096,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.095822,produce,mqtt,watermark,8192,3960,22,22,131072,0,0,0,0,3960,127112,0.000,0
0.096015,send,mqtt,watermark,8192,5760,32,32,131072,0,0,0,0,5760,125312,0.000,0
0.096209,produce,mqtt,watermark,12288,8100,45,45,131072,0,0,0,0,8100,122972,0.000,0
0.096412,send,mqtt,watermark,12288,11520,64,64,131072,0,0,0,0,11520,119552,0.000,0
0.096474,produce,mqtt,watermark,16384,12240,68,68,131072,0,0,0,0,12240,118832,0.000,0
0.096724,produce,mqtt,watermark,20480,16380,91,91,131072,0,0,0,0,16380,114692,0.000,0
0.096793,send,mqtt,watermark,20480,17280,96,96,131072,0,0,0,0,17280,113792,0.000,0
0.096986,produce,mqtt,watermark,24576,20340,113,113,131072,0,0,0,0,20340,110732,0.000,0
0.097168,send,mqtt,watermark,24576,23040,128,128,131072,0,0,0,0,23040,108032,0.000,0
0.097263,produce,mqtt,watermark,28672,24480,136,136,131072,0,0,0,0,24480,106592,0.000,0
0.097561,produce,mqtt,watermark,32768,28620,159,159,131072,0,0,0,0,28620,102452,0.000,0
0.097594,send,mqtt,watermark,32768,28800,160,160,131072,0,0,0,0,28800,102272,0.000,0
0.097828,produce,mqtt,watermark,36864,32760,182,182,131072,0,0,0,0,32760,98312,0.000,0
0.097964,send,mqtt,watermark,36864,34560,192,192,131072,0,0,0,0,34560,96512,0.000,0
0.098089,produce,mqtt,watermark,40960,36720,204,204,131072,0,0,0,0,36720,94352,0.000,0
0.098304,send,mqtt,watermark,40960,40320,224,224,131072,0,0,0,0,40320,90752,0.000,0
0.098357,produce,mqtt,watermark,45056,40860,227,227,131072,0,0,0,0,40860,90212,0.000,0
0.098603,produce,mqtt,watermark,49152,45000,250,250,131072,0,0,0,0,45000,86072,0.000,0
0.098704,send,mqtt,watermark,49152,46080,256,256,131072,0,0,0,0,46080,84992,0.000,0
0.098900,produce,mqtt,watermark,53248,49140,273,273,131072,0,0,0,0,49140,81932,0.000,0
0.177941,send,mqtt,watermark,53248,51840,288,288,131072,0,0,0,0,51840,79232,0.000,14
0.217296,produce,mqtt,watermark,57344,53100,295,295,131072,0,0,0,0,53100,77972,0.000,21
0.346626,produce,mqtt,watermark,61440,57240,318,318,131072,0,0,0,0,57240,73832,0.000,44
0.358027,send,mqtt,watermark,61440,57600,320,320,131072,0,0,0,0,57600,73472,0.000,46
0.374733,pace_wait,mqtt,watermark,61440,58140,323,323,131072,0,0,0,0,58140,72932,0.000,50
0.475991,produce,mqtt,watermark,65536,61380,341,341,131072,0,0,0,0,61380,69692,0.000,67
0.537950,send,mqtt,watermark,65536,63360,352,352,131072,0,0,0,0,63360,67712,0.000,78
0.605494,produce,mqtt,watermark,69632,65520,364,364,131072,0,0,0,0,65520,65552,0.000,90
0.656056,pace_wait,mqtt,watermark,69632,67140,373,373,131072,0,0,0,0,67140,63932,0.000,100
0.717888,send,mqtt,watermark,69632,69120,384,384,131072,0,0,0,0,69120,61952,0.000,110
0.729106,produce,mqtt,watermark,73728,69480,386,386,131072,0,0,0,0,69480,61592,0.000,112
0.858620,produce,mqtt,watermark,77824,73620,409,409,131072,0,0,0,0,73620,57452,0.000,135
0.897886,send,mqtt,watermark,77824,74880,416,416,131072,0,0,0,0,74880,56192,0.000,142
