time_s,event,mode,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.116773,status,pi,0,0,0,131072,0,8387334,8387334,125816,0,131072,0.000,0
0.317469,start,pi,0,0,0,131072,0,8387334,8387334,125816,0,131072,0.000,0
0.387818,status,pi,0,0,0,131072,0,8387334,0,0,0,131072,0.000,0
0.401663,send,pi,5760,32,32,131072,0,8387334,0,0,0,131072,1231.397,0
0.436434,status,pi,11160,62,62,131072,0,0,0,0,11160,119912,0.000,2
0.456160,send,pi,11520,64,64,131072,0,0,0,0,11520,119552,1231.554,2
0.533773,send,pi,17280,96,96,131072,0,0,0,0,17280,113792,1231.869,5
0.628021,send,pi,23040,128,128,131072,0,0,0,0,23040,108032,1232.262,9
0.723278,send,pi,28800,160,160,131072,0,0,0,0,28800,102272,1232.655,13
0.807714,send,pi,34560,192,192,131072,0,0,0,0,34560,96512,1232.970,16
0.904026,send,pi,40320,224,224,131072,0,0,0,0,40320,90752,1233.363,20
1.004196,send,pi,46080,256,256,131072,0,0,0,0,46080,84992,1233.756,24
1.098495,send,pi,51840,288,288,131072,0,0,0,0,51840,79232,1234.071,28
1.197159,send,pi,57600,320,320,131072,0,0,0,0,57600,73472,1234.464,32
1.293268,send,pi,63360,352,352,131072,0,0,0,0,63360,67712,1234.857,36
1.365108,send,pi,69120,384,384,131072,0,0,0,0,69120,61952,1235.172,38
1.464794,send,pi,74880,416,416,131072,0,0,0,0,74880,56192,1235.565,42
1.563187,send,pi,80640,448,448,131072,0,0,0,0,80640,50432,1235.958,46
1.637902,wait,pi,85140,473,473,131072,0,0,0,0,85140,45932,1236.194,50
1.661986,send,pi,86400,480,480,131072,0,0,0,0,86400,44672,1236.351,50
1.740474,status,pi,91080,506,506,66228,64844,68940,4096,66600,22140,44088,0.000,53
1.744233,send,pi,92160,512,512,66228,64844,68940,4096,66600,23220,43008,847.550,53
1.879788,status,pi,96480,536,536,64024,67048,75240,8192,68072,21240,42784,0.000,59
1.882854,send,pi,97920,544,544,64024,67048,75240,8192,68072,22680,41344,834.512,59
2.007811,status,pi,102240,568,568,58760,72312,84600,12288,73336,17640,41120,0.000,65
2.040329,send,pi,103680,576,576,58760,72312,84600,12288,73336,19080,39680,803.094,66
2.099813,status,pi,106380,591,591,59076,71996,88380,16384,75068,18000,41076,0.000,69
2.185978,send,pi,109440,608,608,59076,71996,88380,16384,75068,21060,38016,805.158,72
2.236627,status,pi,111960,622,622,54352,76720,97200,20480,77744,14760,39592,0.000,74
