time_s,event,mode,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.082924,status,watermark,0,0,0,131072,0,96000,96000,80640,0,131072,0.000,0
0.284614,start,watermark,0,0,0,131072,0,96000,96000,80640,0,131072,0.000,0
0.355443,status,watermark,0,0,0,131072,0,96000,0,0,0,131072,0.000,0
0.356061,status,watermark,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.385825,send,watermark,5760,32,32,131072,0,0,0,0,5760,125312,0.000,0
0.401695,send,watermark,11520,64,64,131072,0,0,0,0,11520,119552,0.000,0
0.415338,send,watermark,17280,96,96,131072,0,0,0,0,17280,113792,0.000,0
0.430151,send,watermark,23040,128,128,131072,0,0,0,0,23040,108032,0.000,0
0.441589,send,watermark,28800,160,160,131072,0,0,0,0,28800,102272,0.000,0
0.463839,send,watermark,34560,192,192,131072,0,0,0,0,34560,96512,0.000,0
0.477647,send,watermark,40320,224,224,131072,0,0,0,0,40320,90752,0.000,0
0.494708,send,watermark,46080,256,256,131072,0,0,0,0,46080,84992,0.000,0
0.505926,send,watermark,51840,288,288,131072,0,0,0,0,51840,79232,0.000,0
0.520479,send,watermark,57600,320,320,131072,0,0,0,0,57600,73472,0.000,0
0.533265,send,watermark,63360,352,352,131072,0,0,0,0,63360,67712,0.000,0
0.543629,send,watermark,69120,384,384,131072,0,0,0,0,69120,61952,0.000,0
0.564688,send,watermark,74880,416,416,131072,0,0,0,0,74880,56192,0.000,0
0.577408,send,watermark,80640,448,448,131072,0,0,0,0,80640,50432,0.000,0
0.596020,send,watermark,86400,480,480,131072,0,0,0,0,86400,44672,0.000,0
0.605527,send,watermark,92160,512,512,131072,0,0,0,0,92160,38912,0.000,0
0.618696,send,watermark,97920,544,544,131072,0,0,0,0,97920,33152,0.000,0
0.634089,send,watermark,103680,576,576,131072,0,0,0,0,103680,27392,0.000,0
0.647757,send,watermark,109440,608,608,131072,0,0,0,0,109440,21632,0.000,0
0.659159,send,watermark,115200,640,640,131072,0,0,0,0,115200,15872,0.000,0
0.683596,send,watermark,120960,672,672,131072,0,0,0,0,120960,10112,0.000,0
0.698920,send,watermark,126720,704,704,131072,0,0,0,0,126720,4352,0.000,0
1.687310,wait,watermark,126900,705,705,131072,0,0,0,0,126900,4172,0.000,50
2.155379,status,watermark,126900,705,705,66408,64664,68760,4096,67860,58140,8268,0.000,73
2.248884,status,watermark,131040,728,728,66544,64528,72720,8192,67860,58320,8224,0.000,76
2.259593,send,watermark,132480,736,736,66544,64528,72720,8192,67860,59760,6784,0.000,76
2.380019,status,watermark,135000,750,750,62720,68352,80640,12288,69680,54360,8360,0.000,82
