time_s,event,mode,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.128605,status,pi,0,0,0,131072,0,96000,96000,71916,0,131072,0.000,0
0.333159,start,pi,0,0,0,131072,0,96000,96000,71916,0,131072,0.000,0
0.395094,status,pi,0,0,0,131072,0,96000,0,0,0,131072,0.000,0
0.395550,status,pi,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.457304,send,pi,5760,32,32,131072,0,0,0,0,5760,125312,1231.554,0
0.522205,send,pi,11520,64,64,131072,0,0,0,0,11520,119552,1231.790,2
0.587643,send,pi,17280,96,96,131072,0,0,0,0,17280,113792,1232.105,3
0.695346,send,pi,23040,128,128,131072,0,0,0,0,23040,108032,1232.498,7
0.791862,send,pi,28800,160,160,131072,0,0,0,0,28800,102272,1232.891,10
0.885606,send,pi,34560,192,192,131072,0,0,0,0,34560,96512,1233.284,13
0.969627,send,pi,40320,224,224,131072,0,0,0,0,40320,90752,1233.599,16
1.074475,send,pi,46080,256,256,131072,0,0,0,0,46080,84992,1233.992,20
1.152837,send,pi,51840,288,288,131072,0,0,0,0,51840,79232,1234.307,22
1.248162,send,pi,57600,320,320,131072,0,0,0,0,57600,73472,1234.700,25
1.349005,send,pi,63360,352,352,131072,0,0,0,0,63360,67712,1235.093,29
1.425274,send,pi,69120,384,384,131072,0,0,0,0,69120,61952,1235.408,32
1.547041,send,pi,74880,416,416,131072,0,0,0,0,74880,56192,1235.880,37
1.642526,send,pi,80640,448,448,131072,0,0,0,0,80640,50432,1236.273,40
1.709609,send,pi,86400,480,480,131072,0,0,0,0,86400,44672,1236.509,42
1.807458,send,pi,92160,512,512,131072,0,0,0,0,92160,38912,1236.902,46
1.878669,end,pi,96000,534,534,131072,0,0,0,0,96000,35072,1237.138,49
